,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
4/5/22,3:00,0,1808,1114,0,76,977,3,-122,0,0,-257,0,0,3598,11.84
4/5/22,4:00,0,1659,1059,0,75,949,5,-122,0,0,-266,0,0,3358,1.01
4/5/22,5:00,0,1841,1082,0,76,918,2,-122,0,0,-362,0,0,3435,7.27
4/5/22,6:00,0,1910,1093,0,75,803,1,-10,0,0,-509,0,0,3364,8.09
4/5/22,7:00,0,2037,1204,0,75,601,1,0,0,0,-613,0,0,3304,6.6
4/5/22,8:00,0,2278,1322,0,76,330,0,0,0,0,-687,0,0,3321,16.54
4/5/22,9:00,0,2380,1413,0,76,85,1,0,1,0,-679,0,0,3277,29.87
4/5/22,10:00,0,2512,1384,0,77,3,2,0,79,0,-690,0,0,3366,30.92
4/5/22,11:00,0,2526,1419,0,76,0,5,0,79,0,-792,0,0,3313,29.27
4/5/22,12:00,0,2507,1402,0,76,0,12,0,51,0,-795,0,0,3252,23.92
4/5/22,13:00,0,2449,1370,0,77,0,16,0,0,0,-788,0,0,3123,19.67
4/5/22,14:00,0,2341,1313,0,76,0,17,0,0,0,-673,0,0,3074,21.84
4/5/22,15:00,0,2305,1252,0,77,0,26,0,0,0,-633,0,0,3026,15.93
4/5/22,16:00,0,2189,1303,0,76,0,31,0,0,0,-690,0,0,2909,12.36
4/5/22,17:00,0,2173,1379,0,77,0,42,0,0,0,-662,0,0,3009,16.23
4/5/22,18:00,0,2291,1464,0,76,0,49,0,0,0,-647,0,0,3233,18.01
4/5/22,19:00,0,2258,1584,0,77,0,60,0,0,0,-598,0,0,3381,20.44
4/5/22,20:00,0,2180,1674,0,76,0,76,0,82,0,-636,0,0,3451,24.46
4/5/22,21:00,0,2227,1639,0,76,4,58,0,0,0,-595,0,0,3409,20.21
4/5/22,22:00,0,2293,1543,0,77,66,62,0,0,0,-704,0,0,3336,18.47
4/5/22,23:00,0,2166,1362,0,76,238,55,0,0,0,-688,0,0,3208,13.99
4/6/22,0:00,0,1929,1296,0,76,536,33,0,0,0,-535,0,0,3335,10.86
4/6/22,1:00,0,1839,1261,0,77,747,44,0,0,0,-522,0,0,3445,1.01
4/6/22,2:00,0,1767,1177,0,76,863,48,0,0,0,-479,0,0,3451,1.01
4/6/22,3:00,0,1530,1110,0,76,951,52,0,0,0,-285,0,0,3433,0.01
4/6/22,4:00,0,1412,1061,0,75,959,35,-120,0,0,-176,0,0,3246,0.01
4/6/22,5:00,0,1667,1050,0,75,885,23,-122,0,0,-237,0,0,3341,0.01
4/6/22,6:00,0,1782,1155,0,76,713,17,0,0,0,-422,0,0,3320,0.01
4/6/22,7:00,0,2063,1171,0,76,467,11,0,0,0,-528,0,0,3259,5.53
4/6/22,8:00,0,2292,1322,0,76,195,6,0,0,0,-596,0,0,3294,15.59
4/6/22,9:00,0,2448,1346,0,76,56,7,0,46,0,-734,0,0,3244,24.46
4/6/22,10:00,0,2523,1401,0,76,3,6,0,89,0,-791,0,0,3306,24.46
4/6/22,11:00,0,2416,1504,0,76,0,10,0,89,0,-838,0,0,3257,24.46
4/6/22,12:00,0,2389,1555,0,77,0,12,0,89,0,-955,0,0,3168,24.46
4/6/22,13:00,0,2369,1594,0,76,0,12,0,23,0,-1009,0,0,3065,24.37
4/6/22,14:00,0,2211,1570,0,77,0,15,0,0,0,-847,0,0,3025,18.54
4/6/22,15:00,0,2120,1474,0,77,0,14,0,0,0,-725,0,0,2959,14.39
4/6/22,16:00,0,2093,1322,0,78,0,16,0,0,0,-630,0,0,2879,15.72
4/6/22,17:00,0,2172,1331,0,79,0,21,0,0,0,-613,0,0,2990,16.67
