,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
4/5/22,6:00,2070,6133,902,0,68,4134,15,-436,0,3578,0,0,0,16466,8.09
4/5/22,7:00,2070,6770,1178,0,68,2931,10,0,374,2853,0,0,0,16255,6.6
4/5/22,8:00,2070,8737,1621,0,68,1609,11,0,214,2095,0,0,0,16426,16.54
4/5/22,9:00,2070,9538,1889,0,68,450,18,0,382,1932,0,0,0,16348,29.87
4/5/22,10:00,2070,9510,2025,0,68,13,33,0,765,2098,0,0,0,16582,30.92
4/5/22,11:00,2070,9513,2034,0,68,0,44,0,368,2257,0,0,0,16354,29.27
4/5/22,12:00,2070,9207,1944,0,68,0,61,0,323,2116,0,0,0,15790,23.92
4/5/22,13:00,2070,8857,1850,0,68,0,69,0,175,2108,0,0,0,15197,19.67
4/5/22,14:00,2070,8613,1714,0,68,0,77,0,158,1799,0,0,0,14500,21.84
4/5/22,15:00,2070,7704,1454,0,68,0,74,0,123,2299,0,0,0,13792,15.93
4/5/22,16:00,2070,6953,1257,0,68,0,50,0,115,2307,0,0,0,12820,12.36
4/5/22,17:00,2070,7229,1254,0,68,0,31,0,118,1755,0,0,0,12525,16.23
4/5/22,18:00,2070,8131,1282,0,68,0,24,0,128,1331,0,0,0,13034,18.01
4/5/22,19:00,2070,8710,1608,0,68,0,10,0,130,963,0,0,0,13560,20.44
4/5/22,20:00,2070,8615,1631,0,68,0,7,0,118,1075,0,0,0,13584,24.46
4/5/22,21:00,2070,8544,1541,0,68,12,6,0,122,1135,0,0,0,13500,20.21
4/5/22,22:00,2070,8019,1275,0,68,496,7,0,140,1827,0,0,0,13902,18.47
4/5/22,23:00,2071,6962,1230,0,68,1625,10,0,130,2426,0,0,0,14521,13.99
4/6/22,0:00,2070,6882,1301,0,68,2927,11,0,143,2423,0,0,0,15825,10.86
4/6/22,1:00,2071,6302,1187,0,68,4028,14,0,123,2842,0,0,0,16636,1.01
4/6/22,2:00,2070,5870,923,0,68,4772,16,-48,0,3056,0,0,0,16728,1.01
4/6/22,3:00,2070,5550,918,0,68,5149,16,-463,0,3549,0,0,0,16858,0.01
4/6/22,4:00,2070,5413,920,0,68,5146,16,-1421,0,3696,0,0,0,15908,0.01
4/6/22,5:00,2070,6113,913,0,68,4849,16,-954,0,3407,0,0,0,16482,0.01
4/6/22,6:00,2070,6525,928,0,68,4014,14,-185,0,2872,0,0,0,16308,0.01
4/6/22,7:00,2070,6908,1275,0,68,2903,11,0,417,2370,0,0,0,16022,5.53
4/6/22,8:00,2070,8303,1777,0,68,1688,9,0,214,2037,0,0,0,16166,15.59
4/6/22,9:00,2070,8747,1949,0,68,553,11,0,436,2040,0,0,0,15875,24.46
4/6/22,10:00,2070,8772,2063,0,68,29,13,0,1151,1909,0,0,0,16076,24.46
4/6/22,11:00,2070,8887,2065,0,68,0,12,0,524,2267,0,0,0,15894,24.46
4/6/22,12:00,2070,8867,1952,0,68,0,7,0,309,2065,0,0,0,15339,24.46
4/6/22,13:00,2070,8728,1892,0,68,0,6,0,330,1704,0,0,0,14798,24.37
4/6/22,14:00,2070,8181,1694,0,68,0,7,0,112,2046,0,0,0,14179,18.54
4/6/22,15:00,2071,7404,1364,0,68,0,7,0,0,2571,0,0,0,13485,14.39
4/6/22,16:00,2071,7320,1172,0,68,0,7,0,0,1983,0,0,0,12621,15.72
4/6/22,17:00,2070,7549,1144,0,68,0,8,0,0,1553,0,0,0,12393,16.67
4/6/22,18:00,2071,8425,1162,0,68,0,14,0,74,1126,0,0,0,12941,18.76
4/6/22,19:00,2070,8469,1548,0,68,0,14,0,318,981,0,0,0,13468,26.79
4/6/22,20:00,2070,8431,1554,0,68,0,8,0,322,1089,0,0,0,13542,26.43
4/6/22,21:00,2070,8471,1302,0,68,17,6,0,211,1280,0,0,0,13427,29.97
4/6/22,22:00,2070,8618,1108,0,68,554,7,0,285,1111,0,0,0,13822,24.11
4/6/22,23:00,2071,7179,981,0,68,1740,18,0,312,2155,0,0,0,14524,17.93
4/7/22,0:00,2070,6464,1009,0,68,3005,21,0,164,2934,0,0,0,15737,16.65
4/7/22,1:00,2070,6575,998,0,68,4094,22,-135,0,2950,0,0,0,16643,14.84
4/7/22,2:00,2070,6268,820,0,68,4766,42,-513,0,3253,0,0,0,16775,3.73
4/7/22,3:00,2070,5774,805,0,68,4970,62,-725,0,3693,0,0,0,16717,11.18
4/7/22,4:00,2070,5881,810,0,68,5125,81,-1391,0,3288,0,0,0,15933,0.01
4/7/22,5:00,2070,5765,831,0,68,4706,86,-645,0,3526,0,0,0,16407,11.29
4/7/22,6:00,2069,6309,874,0,68,4105,71,-331,0,3076,0,0,0,16241,12.22
4/7/22,7:00,2070,7728,1016,0,68,3110,65,0,104,1953,0,0,0,16114,12.02
4/7/22,8:00,2070,8879,1406,0,68,1874,61,0,487,1411,0,0,0,16257,17.87
4/7/22,9:00,2070,9149,1740,0,68,622,44,0,809,1520,0,0,0,16023,26.13
4/7/22,10:00,2070,8977,2069,0,68,31,26,0,849,1980,0,0,0,16072,31.61
4/7/22,11:00,2070,8730,2064,0,68,0,13,0,634,2154,0,0,0,15733,28.03
4/7/22,12:00,2070,8794,1942,0,68,0,8,0,503,1773,0,0,0,15158,22.28
4/7/22,13:00,2070,8612,1869,0,68,0,13,0,480,1586,0,0,0,14698,24.28
4/7/22,14:00,2070,8266,1459,0,68,0,40,0,294,1789,0,0,0,13987,19.32
4/7/22,15:00,2070,7632,1422,0,68,0,49,0,119,2068,0,0,0,13429,15.93
4/7/22,16:00,2070,6724,1188,0,68,0,41,0,0,2467,0,0,0,12559,15.72
4/7/22,17:00,2070,6800,1224,0,68,0,32,0,0,2057,0,0,0,12252,16.7
4/7/22,18:00,2070,7710,1265,0,68,0,26,0,153,1509,0,0,0,12802,19.23
4/7/22,19:00,2070,7664,1590,0,68,0,32,0,525,1376,0,0,0,13326,26.79
4/7/22,20:00,2070,7496,1592,0,68,0,31,0,413,1641,0,0,0,13310,19.67
4/7/22,21:00,2070,7707,1401,0,68,16,20,0,375,1491,0,0,0,13148,28.3
4/7/22,22:00,2070,7956,1113,0,68,526,24,0,280,1392,0,0,0,13430,23.68
4/7/22,23:00,2070,6708,1094,0,68,1741,21,0,134,2424,0,0,0,14259,17.68
4/8/22,0:00,2069,6754,1073,0,68,2930,17,-381,0,2951,0,0,0,15482,13.39
4/8/22,1:00,2070,6039,1054,0,68,3966,16,-100,0,3242,0,0,0,16355,11.39
4/8/22,2:00,2069,5218,922,0,68,4708,25,-277,0,3747,0,0,0,16481,5.76
4/8/22,3:00,2070,5276,894,0,68,5106,29,-738,0,3873,0,0,0,16579,13.28
4/8/22,4:00,2070,5192,889,0,68,5135,29,-1279,0,3696,0,0,0,15802,0.01
4/8/22,5:00,2069,5835,888,0,68,4841,33,-1172,0,3658,0,0,0,16221,11.46
4/8/22,6:00,2069,5918,903,0,68,4206,48,-438,0,3199,0,0,0,15974,7.8
4/8/22,7:00,2070,6532,1098,0,68,3201,48,0,133,2559,0,0,0,15708,11.28
4/8/22,8:00,2070,7401,1594,0,68,1975,34,0,256,2353,0,0,0,15751,20.41
4/8/22,9:00,2069,8515,1895,0,68,739,16,0,437,1793,0,0,0,15533,28.23
4/8/22,10:00,2070,8963,2062,0,68,38,7,0,715,1663,0,0,0,15585,31.16
4/8/22,11:00,2070,8869,2070,0,68,0,10,0,431,1878,0,0,0,15396,27.23
4/8/22,12:00,2069,8576,2049,0,68,0,14,0,243,1826,0,0,0,14846,25.9
