1,2,3,4,5,6,7,8,9
3066,23000,12090,5675,7645,7695,2925,12268,2460
3166,23370,12362,6105,8237,7858,3057,12751,2690
3205,23510,12403,6294,8553,7991,3073,12812,2810
3227,23450,12286,6187,8454,8035,3000,12526,2730
3304,24090,12503,5947,8096,7834,2884,12772,2590
3303,26200,13422,5883,7898,7914,2837,13651,2590
3545,29620,15375,6297,8260,8568,3041,15114,2960
3661,32620,16588,6713,8642,9115,3256,16114,3150
3662,33710,16866,6818,8997,9229,3353,16295,3240
3674,34250,16893,6899,9259,9257,3359,16660,3240
3496,33480,16059,6572,9025,8907,3161,16169,3050
3620,34620,17028,6855,9403,9236,3292,17162,3200
3568,34340,17156,6816,9026,9271,3334,17205,3150
3538,33700,16904,6744,9025,9108,3272,17404,3130
3548,33320,16610,6814,9204,9181,3272,17103,3080
3576,32620,15870,6579,9192,9110,3186,16320,2970
3678,33210,15862,6649,9397,9259,3177,16025,2990
3611,32100,15180,6507,9356,8988,3075,15461,2920
3437,30720,14587,6362,8899,8602,2971,14755,2780
3269,29020,13931,6080,8559,8231,2875,14022,2620
3122,27560,13437,5828,8243,7924,2830,13489,2460
3141,26020,13080,5680,7841,7692,2791,12921,2410
3048,24280,12243,5472,7391,7455,2685,12004,2290
3162,23150,11872,5428,7251,7542,2756,11624,2300
3278,23090,12001,5784,7690,7801,2970,12062,2460
3361,23290,12271,6154,8250,8099,3128,12578,2660
3429,23470,12289,6346,8591,8313,3150,12715,2770
3367,23910,12264,6301,8521,8424,3105,12499,2720
3340,25490,12544,6222,8223,8623,3013,12631,2610
3283,27860,13417,6284,8297,8766,3014,13449,2570
3442,31280,15400,6897,8943,9488,3276,15011,2940
3560,33630,16684,7201,9450,9951,3466,16245,3050
3556,34230,16817,7122,9426,9998,3478,16425,3050
3518,34310,16861,7061,9420,10080,3483,16771,3090
3318,32940,15950,6733,9157,9625,3294,15985,2920
3386,34190,16640,7015,9388,10103,3486,16721,3150
3365,34260,16539,6918,9386,10106,3535,16999,3150
3376,34070,16214,6948,9390,10084,3508,16811,3130
3421,34340,16249,6984,9486,10220,3519,16775,3180
3480,34390,15856,6818,9501,10207,3458,16340,3090
3670,34550,15742,6800,9669,10281,3441,16170,3080
3625,33530,14975,6562,9468,9946,3325,15494,2960
3467,32140,14343,6310,9068,9509,3208,14804,2840
3284,30330,13839,6059,8624,9002,3090,14194,2680
3166,28550,13325,5704,8278,8574,3011,13644,2500
3179,26800,12980,5597,7908,8292,2937,13098,2450
3136,24840,12194,5334,7437,7959,2825,12162,2330
3198,23840,11802,5263,7276,8050,2874,11814,2320
3290,23800,11938,5528,7738,8344,3071,12238,2480
3407,24180,12215,5969,8322,8593,3213,12832,2700
3526,24550,12269,6260,8612,8729,3251,12867,2820
3454,25390,12267,6195,8613,8917,3192,12727,2780
3489,27370,12562,6102,8396,9071,3134,13050,2690
3402,29970,13429,6200,8334,9239,3103,14028,2730
3628,33550,15245,6592,8720,9995,3314,15410,3030
3744,35830,16311,6675,9103,10468,3535,16050,3110
3692,36230,16287,6606,9152,10451,3560,16189,3070
3619,36250,16281,6577,9426,10419,3535,16242,3040
3481,34770,15175,6199,8976,9974,3335,15376,2940
3509,35280,16072,6459,9240,10382,3504,16136,3130
3412,35110,16113,6541,9310,10366,3507,16268,3110
3366,34840,15684,6502,9236,10323,3486,16323,3170
3412,34940,15621,6669,9233,10413,3493,16377,3150
3500,34990,15204,6523,9464,10360,3406,15993,3110
3696,35490,15162,6631,9701,10403,3408,15890,3100
3704,34590,14590,6563,9575,10057,3305,15438,3010
3520,33280,14062,6298,9214,9632,3188,14847,2880
3351,31500,13570,5945,8835,9099,3060,14225,2700
3262,29870,13156,5694,8483,8681,2973,13786,2530
3283,27990,12724,5521,8077,8391,2910,13250,2460
3164,25780,11924,5356,7528,8006,2781,12308,2340
3230,24540,11448,5298,7381,8029,2814,11894,2350
3370,24200,11543,5559,7741,8214,3012,12320,2520
3471,24410,11820,6033,8386,8396,3151,12900,2760
3485,24520,11812,6226,8720,8482,3187,12890,2850
3378,24660,11405,6142,8679,8510,3101,12538,2800
3244,25310,11075,5841,8120,8434,2907,12342,2610
3051,26510,11296,5634,7713,8411,2905,12674,2380
3081,28270,11984,5551,7480,8803,3050,13531,2530
3121,28960,12372,5562,7732,9027,3096,14069,2660
3103,28940,12548,5734,7952,8725,3080,14273,2700
3030,30010,12571,5706,8264,8570,3009,14332,2690
2886,29420,12311,5574,8147,8271,2881,13927,2570
2828,28810,12224,5541,8053,8195,2840,13828,2580
2738,27930,11998,5286,7713,7962,2776,13449,2520
2731,26930,11810,5143,7512,7897,2722,13283,2460
2891,27130,11742,5253,7659,8023,2742,13559,2530
3094,27590,11838,5627,8175,8274,2792,13943,2610
3341,29540,12470,5890,8442,8874,2922,14361,2710
3381,29730,12534,6063,8738,8886,2943,14614,2770
3250,29140,12228,6018,8509,8657,2878,14311,2690
3079,27970,11708,5714,8219,8277,2779,13733,2560
2970,26740,11137,5448,7922,8038,2729,13131,2410
3080,25470,10888,5339,7579,7907,2669,12583,2350
3060,23630,10368,5241,7125,7696,2609,11756,2260
3152,22710,10147,5178,7098,7851,2693,11454,2280
3256,22670,10348,5500,7495,8111,2916,11947,2470
3326,22900,10758,5946,8172,8290,3064,12565,2720
3360,23040,10846,6202,8490,8414,3081,12663,2830
